2021-08-03 19:48:57 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Reactive Elasticsearch repository interfaces.
2021-08-03 19:48:58 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=80d0bf78-55b3-3c52-9f4f-25bbabf5c3bf
2021-08-03 19:48:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8183 (http)
2021-08-03 19:48:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8183"]
2021-08-03 19:48:58 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-08-03 19:48:58 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-08-03 19:48:58 [main] INFO  o.a.c.c.C.[.[.[/elastic-query-service] - Initializing Spring embedded WebApplicationContext
2021-08-03 19:48:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1295 ms
2021-08-03 19:48:59 [main] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.2.2
2021-08-03 19:48:59 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.12.1
2021-08-03 19:48:59 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.9.1
2021-08-03 19:48:59 [main] WARN  o.s.d.e.support.VersionInfo - Version mismatch in between Elasticsearch Clients build/use: 7.12.1 - 7.9.1
2021-08-03 19:48:59 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch cluster: 7.9.1
2021-08-03 19:48:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/api-docs'] with []
2021-08-03 19:48:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45d46254, org.springframework.security.web.context.SecurityContextPersistenceFilter@2b62475a, org.springframework.security.web.header.HeaderWriterFilter@181098bf, org.springframework.security.web.authentication.logout.LogoutFilter@4746fb8c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@74f649a7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@624d778e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3c2dda7c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@a240452, org.springframework.security.web.session.SessionManagementFilter@722b3ba2, org.springframework.security.web.access.ExceptionTranslationFilter@1ab268bd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@27a0e6ce]
2021-08-03 19:49:01 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-08-03 19:49:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8183"]
2021-08-03 19:49:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8183 (http) with context path '/elastic-query-service'
2021-08-03 19:49:02 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-08-03 19:49:02 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - Started ElasticQueryServiceApplication in 11.266 seconds (JVM running for 11.965)
